,Title,Date,Ship,Ship_category,Summary,Language,Word_Count,Comments,Chapters,Kudos,Bookmarks,Hits
198,The Pure and Simple Truth,2012,Draco Malfoy/Harry Potter,Gen,"Harry, Draco, and Hermione go to a pub. Harry, Draco, and Pansy go to a pub. Harry, Draco, Pansy, and Hermione go to a pub. Harry, Draco, Hermione and Ron go to a pub. Harry, Draco, Hermione, Ron, and Pansy―you guessed it―go to a pub. I could go on. In fact, I did. Harry, Draco, Hermione, Pansy, Ron, Blaise, Luna, Goyle, Neville, and Theodore Nott go to a pub. In various combinations.",English,"65,482",930,9/9,"14,320","4,979","269,138"
199,"yer a wizard, dudley",2018,Dudley Dursley & Piers Polkiss,Gen,"Harry Potter spent his eleventh birthday in a cabin on a tiny rock in the middle of the sea, listening to his cousin snore on the couch.When a knock sounded on the wind-swept, rain-drenched door, it was not a giant fist (or a half-giant's fist). It was a short sharp rap that sounded once, twice, three times before Minerva McGonagall simply charmed the lock open and stepped inside.""Apologies,"" Minerva said crisply, as Vernon raced out brandishing his rifle and Petunia pulled Dudley up off the couch and behind her. ""I wasn't sure you could hear me over the weather.” The rain fell down behind the professor in a roar. She was perfectly dry.Minerva fished in her pocket without looking, because the only things allowed in her pockets were only ever exactly what she needed. “I've come to deliver this,"" she said, pulling out a letter and handing it to Harry, who was cross-legged on the floor, ""because our owl post seems to have been unable to get through.”“And I've come to deliver this,"" she added, pulling out a second letter, ""because Hogwarts by-laws require a professor to hand-deliver acceptance letters to Muggleborn families for their explanation and comfort.""",English,"21,860",774,1/1,"14,276","2,552","131,717"
200,That Old Black Magic,2013,Sirius Black/Remus Lupin,M/M,"AU in which Remus, being as he is a werewolf and all, is homeschooled til he is 16.Hogwarts is something of an experience, not least because there's thisboycalled Sirius Black.",English,"36,775",296,1/1,"14,276","3,275","234,284"
201,Luckiest Fucking Size Queen Alive,2016,Draco Malfoy/Harry Potter,M/M,"Potter escorts me home, presses me into my front door and kisses me with a ferocity that’s exhilarating.And then Potter asks me, in a growl that makes my cock throw a wet tantrum in my pants, how many more dates I would deem mandatory before I let him fuck me.I drag Potter to bed.",English,"6,200",618,1/1,"14,271","2,091","200,410"
202,Meet Your Match,2022,Hermione Granger/Draco Malfoy,F/M,"After the war, Draco Malfoy seeks refuge from infamy in the Muggle world. A friendly Muggle couple takes him under their wing, but there’s a problem: they are intent on setting him up with their best friend, Hermione Granger.Or, in which the Muggle friends Hermione Granger undoubtedly would have had will not take no for an answer.",English,"121,611","2,218",26/26,"14,241","5,711","670,887"
203,Heroes all have a Saving People Thing,2022,Harry Potter & Aizawa Shouta,M/M,"Aizawa gets called to England to deal with the Black family fortune and returns with a traumatized war hero cousin he will not be giving back. Aizawa's pretty sure his husband won't mind.Harry meets an actually competent adult who actually understands, offers to take him away, and is willing to tell the Magical Word to shove it. Harry maybe gets attached.Class 3A adopts another hero or two and learns that Problem Children who had megalomaniacs chasing them through school bond startlingly quickly. They also shouldn't be left alone with Nezu.",English,"94,246","2,724",25/25,"14,185","4,666","412,750"
204,"Like Cinderella, But With Cock",2017,Draco Malfoy/Harry Potter,M/M,"”Oh, shit,” he groans, “This is like Cinderella, isn’t it?! Like Cinderella, but with cock. Cock instead of slippers.”Where Harry’s hexed so that he can’t lose his erection until he sleeps with his soulmate. If only those were easier to find.",English,"8,978",375,1/1,"14,124","2,101","186,976"
205,Mother May I,2016,Newt Scamander & Barebone Children,Gen,In which Newt can recognize an Obscurial by sight.,English,"42,365",990,11/11,"14,112","4,586","129,427"
206,The Dragon of Moria,2016,Legolas Greenleaf/Harry Potter,M/M,"After the Battle of Hogwarts, Harry Potter helped with the rebuilding and then went back to school, sitting his NEWTS and graduating with the rest of whatThe Daily Prophetcalled ‘The Disrupted Class.’ Following that, everyone expected him to become an auror. Harry himself expected it, right up until the moment came to apply to the academy.He takes up a hobby instead, and it leads him to a whole new world.",English,"5,200",433,1/1,"14,109","3,275","140,723"
207,The Stark Truth,2024,Harry Potter - Relationship,M/M,"Summer after 4th year Harry learns that James isn't exactly is father and Lily isn't his mother. Will his newly discovered family be able to help him recover from his violent, abusive childhood? Will he be able to trust again enough to find love?",English,"229,819","2,883",31/31,"14,062","4,069","487,356"
208,Erosmancy,2016,Draco Malfoy/Harry Potter,M/M,"Blaise was immune to whatever it was people usually felt around his mother, for which he was profoundly grateful, since no one needed an Oedipal complex on quite that spectacular a scale, but that didn’t mean he didn’t have a thorough respect for her gift.",English,"11,057",351,1/1,"14,052","2,357","170,487"
209,chalk this one up as a win,2015,Marcus Flint/Oliver Wood,M/M,"Oliver Wood wakes up in the Hospital Wing a week after his first Quidditch game ever with a head injury and his soulmate's thoughts wound around his left wrist.Frankly, he's more concerned about missing the Quidditch game.",English,"6,205",248,1/1,"14,036","1,427","161,357"
210,The Sum of Their Parts,2016,N/A,Gen,"For Teddy Lupin, Harry Potter would become a Dark Lord. For Teddy Lupin, Harry Potter would take down the Ministry or die trying. He should have known that Hermione and Ron wouldn't let him do it alone.",English,"138,205","1,540",11/11,"14,012","6,976","289,399"
211,Hell is Your Son from Another Dimension,2021,Harry Potter/Voldemort,M/M,A desperate Order of the Phoenix turns to an alternate dimension to summon a hero who has the power to defeat Voldemort. They get… something.,English,"28,365",469,7/7,"13,952","2,700","179,020"
212,To Hurt and Heal,2018,Draco Malfoy/Harry Potter,M/M,"They say that everybody who gets out of Azkaban comes out a little mad. After the war, Draco Malfoy spends three months in Azkaban. He just wants to go insane in peace, but Harry Potter finds that he, inexplicably, still can't leave Draco alone.",English,"21,608",311,1/1,"13,934","2,857","124,545"
213,Through The Fire,2021,Draco Malfoy/Harry Potter,M/M,Minerva McGonagall checks up on little Harry Potter and finds that not all is as it should be. She makes a decision that will change everything for the Boy Who Lives.,English,"212,551","1,929",50/50,"13,920","3,910","537,727"
214,all my cards are here,2021,Sirius Black/Remus Lupin,F/M,"Sirius cracked a well-practiced smirk, “Nice to meet you, Remus.” Sirius looked at his bandmates loading their equipment into Potter's car, “You wouldn’t happen to know a bassist, would you?”-Marauders Band AU - When the Marauders kick out their bassist, they ask local bartender Remus Lupin to step in. As the band gains success, Remus must navigate his new friendship with Sirius under the public eye.",English,"112,252","1,430",18/18,"13,913","3,872","399,981"
215,The Second String,2021,Harry Potter/Gideon Prewett,M/M,"Everyone knows Dementors can take souls, but nothing says that they have to keep them. After the Dementor attack in Little Whinging ends disastrously, Harry must find a place for himself in a new world, fighting a different sort of war against the nascent Voldemort.",English,"409,773","3,496",45/45,"13,822","6,589","515,199"
216,my almost lover,2023,Regulus Black/James Potter,M/M,"“If I was dating Regulus, I would have noticed.”A pause. His friends all stare at him with various levels of disbelief. Suddenly, he feels very stupid.“Are you sure?” Remus asks.Regulus and James are a couple. James is the last person to realise this.",English,"27,757",806,8/8,"13,772","3,266","181,339"
217,Things Worth Knowing,2017,Draco Malfoy/Harry Potter,M/M,"After the Battle, Harry thinks he's left Hogwarts for good, but Minerva insists that all students return for an Eighth Year if they wish to sit for NEWTs in the spring, and Harry needs those NEWTs to go into the Aurors. Draco's just grateful not to be in Azkaban. Or the Manor. He's hoping he can steer clear of Potter this year and grapple with his own problems. Unfortunately for him, Potter appears to be one of those problems. And that's not even addressing the fact that Potter's got serious issues of his own, which Draco realises as he's forced to share an Eighth Year dormitory room and several classes with the Gryffindor Git. If only they can make it through the year without killing each other, it should be all right, shouldn't it?",English,"164,523","1,213",10/10,"13,766","4,441","387,736"
218,Amor Vincit Omnia,2022,Hermione Granger/Draco Malfoy,F/M,"After three years of dating, Ron admits he cheated on Hermione for two of those years with Daphne Greengrass--and Harry knew all about it. Reeling from the betrayal by her friends and family, Hermione must rebuild her life and discover new bonds with an unlikely group including Theo Nott, Blaise Zabini, and Pansy Parkinson.What happens when Draco Malfoy, her first and deepest love, suddenly reappears in Hermione's life and she finds that her feelings have only grown deeper with time?OR: Hermione and Draco secretly dated at Hogwarts, he left after his trial, and now he's returned to win her back.",English,"288,120","1,934",32/32,"13,734","5,641","880,234"
